Organisation,Org_URL,Country,Industry,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Tags,Leak_Links
"WWAY-TV, LLC",https://www.wwaytv3.com,United States of America,Art & Entertainment,"Jul 22, 2022",Financial Records|Marketing Data|Employee Data|Operations|Company Projects|Customer Data|Server Data,"WWAY (channel 3) is a television station in Wilmington, North Carolina, United States, affiliated with ABC, CBS, and The CW Plus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/wwaytv3.com/,Bianlian,$10 Millions,NA,USA|media,/file_tree/wwaytv3.com.txt
Alegria Family Services,https://www.alegriafamily.com,United States of America,Healthcare,"Jul 22, 2022",Financial Records|Employee Data|Server Data|Customer Data|Medical Records,Alegria Family Services (AFS) provides residential services to individuals with developmental disabilities.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/alegriafamily.com/,Bianlian,$7 Millions,NA,USA|healthcare,/dl/Alegria_Family_Services_file_server_data.7z.001
Magnachem,https://magnachem.com,Dominican Republic ,Healthcare,"Jul 21, 2022",Server Data|Employee Data|Operations|Others,"First Dominican pharmaceutical company in the development of research molecules, with two patents in the United States and 55 other countries, supported by clinical studies for the treatment of pain and different types of cancer.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/magnachem.com/,Bianlian,$47 Millions,NA,pharmaceutical,/file_tree/magnachem.com.txt
"Abdulaziz, Grossbart & Rudman",http://agrlaw.com,United States of America,Law,"Jul 12, 2022",Company Projects|Operational|Financial Records|Server Data,"Abdulaziz, Grossbart & Rudman is an resource to help avoid, minimize & resolve the legal issues that arise in construction.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/agrlaw.com/,Bianlian,$33 Millions,NA,USA|Lawyers,/file_tree/agrlaw.com.txt
Spalding Grammar School,http://spaldinggrammar.lincs.sch.uk,United Kingdom,Education,"Jul 11, 2022",Server Data|Financial Records|Communication Records,"Spalding Grammar School, fully known as The Queen Elizabeth Royal Free Grammar School Spalding, is a boys’ grammar school in England.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/spaldinggrammar.lincs.sch.uk/,Bianlian,$726 Millions,NA,UK|education,/dl/SpaldingGrammar_unsorted_fileserver_stuff.7z.001
Conway Electrics,http://www.conwayelectrics.com.au/,Australia,Construction,"Jul 8, 2022",Server Data|Company Projects,"Conway Electrics Pty Ltd is an electrical contracting company specializing in commercial, industrial and domestic installations as well as maintenance and cbus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/conwayelectrics.com.au/,Bianlian,$5 Millions,NA,construction,None
Veritas Solicitors,https://www.veritassolicitors.co.uk/,United Kingdom,Law,"Jun 29, 2022",Customer Data|Financial Records|Server Data|Employee Data,Firms that deals with legal issues and business transactions.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/veritassolicitors.co.uk/,Bianlian,$5 Millions,NA,UK,/file_tree/veritassolicitors.co.uk.txt
Rain the Growth Agency,https://www.rainforgrowth.com/,United States of America,Marketing,"Jun 28, 2022",Marketing Data|Customer Data|Financial Records|Operations|Server Data|Employee Data,"Rain the Growth Agency is a fully integrated advertising agency. They link strategy, creative and production with audience targeting, dynamic media buying and advanced analytics.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rainforgrowth.com/,Bianlian,$50 Millions,NA,marketing,/file_tree/rainforgrowth.com.txt
Mooresville Schools,https://www.mooresvilleschools.org/,United States of America,Education,"Jun 21, 2022",Financial Records|Employee Data|Student Data|Server Data|Communication Data,"Mooresville Schools include five elementary schools, one middle school, one high school and a head office.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mooresvilleschools.org/,Bianlian,NA,NA,education,/file_tree/mooresvilleschools.org.txt
ISGEC Heavy Engineering,https://www.isgec.com,India,Engineering,"Jun 21, 2022",Financial Records|Company Projects|Communication Records|Customer Data|Operations|Server Data,"Isgec Heavy Engineering Ltd. is a multi-product, multi-location public company that has been providing engineering solutions to customers around the world for the past 89 years. Rank 252 in the ET 500 listing, 253 in the Fortune India 500 listing.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isgec.com/,Bianlian,$734 Millions,NA,India|public_company|construction|engineering,/file_tree/isgec.com.txt
High Power Technical Services,https://www.hpts.tv,United States of America,Finance & Insurance,"Jun 20, 2022",Financial Data|Employee Data|Communication Records|Employee Data|Server Data,"Founded in 1999 and headquartered in Louisville, Kentucky, High Power Technical Services is a company that both sells and installs Dish based products to consumers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hpts.tv/,Bianlian,$87 Millions,NA,insurance,/file_tree/hpts.tv.txt
Anderson Insurance Associates,https://www.aiasc.com,United States of America,Finance & Insurance,"Jun 17, 2022",Financial Records|Customer Data|Communication Data|Employee Data|Server Data,Anderson Insurance Associates is a Charleston-based Independent Insurance agency committed to putting its clients first since 1981.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aiasc.com/,Bianlian,$98 Millions,NA,insurance,/file_tree/aiasc.com.txt
Mackenzie Medical,https://www.mackenziemedical.com/,Mackenzie Medical,Healthcare,"Jun 5, 2022",Financial Records|Medical Records|Customer Data|Employee Data|Communication Data|Server Data,"A network of 9 rehabilitation centers, that specializes in the treatment of WSIB injuries, motor vehicle accident injuries and sports injuries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mackenziemedical.com/,Bianlian,NA,NA,medicine,/file_tree/mackenziemedical.com.txt
Danielski Farms Inc,https://danielskifarms.com,United States of America,Agriculture,"Feb 5, 2022","Financial Records|Communication Records|Patents, License and Copyrights|Server Data","Danielski Farms Inc. strives to perform the highest quality and efficient harvest of our customers’ crops. Being farmers ourselves, we know the painstaking efforts required to see a crop through from planting to harvest.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/danielskifarms.com/,Bianlian,$383 Millions,200 GB,usa|agriculture|farming,/dl/danielskifarms.com_data_list.txt
